resort_id,resort_name,check_in,check_out,total_available_units,unit_types_available,min_points_required,max_points_required,accommodation_options
77,Club Wyndham Panama City Beach,2025-11-06,2025-11-17,2,"1 BEDROOM, STUDIO",69600,108800,2
77,Club Wyndham Reunion,2025-12-19,2025-12-21,10,3 BEDROOM,115000,115000,1
77,Club Wyndham Star Island,2025-12-19,2025-12-21,1,1 BEDROOM,53000,53000,1
77,WorldMark Kingstown Reef,2025-10-23,2025-10-26,1,STUDIO,70000,70000,1
77,WorldMark Kingstown Reef,2025-10-25,2025-10-29,1,2 BEDROOM,102500,102500,1
77,WorldMark Kingstown Reef,2025-10-30,2025-11-06,1,STUDIO,134000,134000,1
77,WorldMark Kingstown Reef,2025-11-11,2025-11-15,4,"1 BEDROOM, 2 BEDROOM",93000,111500,3
77,WorldMark Kingstown Reef,2025-11-30,2025-12-06,1,2 BEDROOM,159500,159500,1
77,WorldMark Kingstown Reef,2025-12-19,2025-12-21,11,"1 BEDROOM, 2 BEDROOM, STUDIO",54000,79000,7
77,WorldMark Palm-Aire,2025-11-06,2025-11-17,12,"2 BEDROOM, 1 BEDROOM",205000,315000,5
77,WorldMark Reunion,2025-10-30,2025-11-06,1,3 BEDROOM,279500,279500,1
77,WorldMark Reunion,2025-11-11,2025-11-15,12,3 BEDROOM,156500,156500,2
77,WorldMark Reunion,2025-11-30,2025-12-06,34,3 BEDROOM,223500,223500,2
77,WorldMark Reunion,2025-12-01,2025-12-07,34,3 BEDROOM,246000,246000,2
77,WorldMark Reunion,2025-12-02,2025-12-10,31,3 BEDROOM,313000,313000,2
77,WorldMark Reunion,2025-12-19,2025-12-21,32,3 BEDROOM,112000,112000,2
77,WorldMark Sea Gardens,2025-11-06,2025-11-17,4,"1 BEDROOM, STUDIO",179000,223500,3
