resort_id,check_in,check_out,resort_name,offering_name,unit_type,unit_name,product_id,original_points,current_points,available_count,savings,discount_percentage,extraction_date,fetch_timestamp
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,134500,53800,7,80700,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,124000,49600,27,74400,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000005,126600,50640,5,75960,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,42000,42000,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,48000,48000,15,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,32000,32000,32,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,72000,72000,38,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,90000,90000,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,80000,80000,28,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-08,2025-12-12,Club Wyndham Ocean Walk,Ocean Walk,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000005,90400,90400,8,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:32.831802
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,31500,31500,11,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,36000,36000,28,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,24000,24000,39,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,54000,54000,64,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe Lockoff,PI|R000000000005,67500,67500,11,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000005,60000,60000,24,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-17,Club Wyndham Ocean Walk,Ocean Walk,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000005,67800,67800,16,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:34.849971
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,73500,73500,10,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,82500,82500,25,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
70,2025-12-14,2025-12-20,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,58500,58500,39,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:36.905719
