ResortId,Resort,RoomTypeID,RoomType,PropertyTypeId,PropertyType,BedroomID,BedType,Name,Resort name in tzort ,Resort Name in wyndham,resort id in wyndham onwner site
152,Sea Gardens Resort,2,Deluxe,20,Condo,2,1 Bed,Wyndham Sea Gardens - 1 Bedroom Condo,Sea Gardens Resort,Club Wyndham Sea Gardens,86.0
152,Sea Gardens Resort,2,Deluxe,20,Condo,3,2 Beds,Wyndham Sea Gardens - 2 Bedroom Condo,Sea Gardens Resort,Club Wyndham Sea Gardens,86.0
153,Margaritaville - St. Thomas,1,Standard,12,,1,Studio,Margaritaville Vacation Club by Wyndham - St. Thomas - Studio,Margaritaville - St. Thomas,Margaritaville Vacation Club by Wyndham - St. Thomas,169.0
155,Royal Garden at Waikiki,1,Standard,12,,1,Studio,Club Wyndham Royal Garden at Waikiki - Studio,Royal Garden at Waikiki,Club Wyndham Royal Garden at Waikiki,26.0
155,Royal Garden at Waikiki,4,Presidential,12,,2,1 Bed,Club Wyndham Royal Garden at Waikiki - 1 Bedroom Presidential,Royal Garden at Waikiki,Club Wyndham Royal Garden at Waikiki,26.0
155,Royal Garden at Waikiki,4,Presidential,12,,3,2 Beds,Club Wyndham Royal Garden at Waikiki - 2 Bedroom Presidential,Royal Garden at Waikiki,Club Wyndham Royal Garden at Waikiki,26.0
156,La Belle Maison Resort,3,Suite,12,,1,Studio,Wyndham La Belle Maison - Studio,La Belle Maison Resort,Club Wyndham La Belle Maison,62.0
156,La Belle Maison Resort,3,Suite,12,,2,1 Bed,Wyndham La Belle Maison - 1 Bedroom,La Belle Maison Resort,Club Wyndham La Belle Maison,62.0
156,La Belle Maison Resort,3,Suite,20,Condo,3,2 Beds,Wyndham La Belle Maison - 2 Bedroom,La Belle Maison Resort,Club Wyndham La Belle Maison,62.0
158,Durango Resort,1,Standard,12,,2,1 Bed,Club Wyndham Durango - 1 Bedroom,Durango Resort,Club Wyndham Durango,50.0
159,Harbour Lights Resort,1,Standard,12,,1,Studio,Club Wyndham Harbour Lights - Studio,Harbour Lights Resort,Club Wyndham Harbour Lights,55.0
159,Harbour Lights Resort,1,Standard,12,,2,1 Bed,Club Wyndham Harbour Lights - 1 Bedroom,Harbour Lights Resort,Club Wyndham Harbour Lights,55.0
160,King Cotton Villas Resort,4,Presidential,20,Condo,4,3 Beds,Club Wyndham King Cotton Villas - 3 Bedroom,King Cotton Villas Resort,Club Wyndham King Cotton Villas,6.0
161,Oceanside Pier Resort,2,Deluxe,12,,2,1 Bed,Club Wyndham Oceanside Pier Resort - 1 Bedroom,Oceanside Pier Resort,Club Wyndham Oceanside Pier Resort,71.0
161,Oceanside Pier Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Oceanside Pier Resort - 2 Bedroom,Oceanside Pier Resort,Club Wyndham Oceanside Pier Resort,71.0
163,Taos Resort,1,Standard,12,,1,Studio,Wyndham Taos - Studio,Taos Resort,Club Wyndham Taos,112.0
163,Taos Resort,1,Standard,12,,2,1 Bed,Wyndham Taos - 1 Bedroom Suite,Taos Resort,Club Wyndham Taos,112.0
164,Fairfield Harbour Resort,2,Deluxe,12,,3,2 Beds,Wyndham Resort at Fairfield Harbour- 2 Bedroom,Fairfield Harbour Resort,Club Wyndham Fairfield Harbour,78.0
167,Margaritaville - Desert Blue,2,Deluxe,12,,4,3 Beds,Wyndham Maragritaville Desert Blue - 3 Bedroom Deluxe,Margaritaville - Desert Blue,Margaritaville Vacation Club by Wyndham - Desert Blue,294.0
170,Anaheim Resort,1,Standard,12,,1,Studio,Club Wyndham Anaheim - Studio,Anaheim Resort,Club Wyndham Anaheim,104.0
170,Anaheim Resort,1,Standard,12,,2,1 Bed,Club Wyndham Anaheim - 1 Bedroom,Anaheim Resort,Club Wyndham Anaheim,104.0
170,Anaheim Resort,1,Standard,12,,3,2 Beds,Club Wyndham Anaheim - 2 Bedroom,Anaheim Resort,Club Wyndham Anaheim,104.0
171,Bay Club Resort,1,Standard,12,,1,Studio,Club Wyndham Bay Club - Studio Condo,Bay Club Resort,Club Wyndham Bay Club,33.0
171,Bay Club Resort,1,Standard,12,,2,1 Bed,Club Wyndham Bay Club - 1 Bedroom Condo,Bay Club Resort,Club Wyndham Bay Club,33.0
171,Bay Club Resort,1,Standard,12,,3,2 Beds,Club Wyndham Bay Club - 2 Bedroom Condo,Bay Club Resort,Club Wyndham Bay Club,33.0
